mean reward at round 753:113.87969313779249
mean reward at round 754:109.6933437147971
mean reward at round 755:117.16823271605752
mean reward at round 756:116.59634626637414
mean reward at round 757:118.76961819777371
mean reward at round 758:118.70945224898087
mean reward at round 759:121.32426205399031
mean reward at round 760:114.62252330225321
mean reward at round 761:115.72402819077199
mean reward at round 762:114.31760517622384
mean reward at round 763:113.99105454732562
mean reward at round 764:120.16589635382451
mean reward at round 765:114.8943910640573
mean reward at round 766:116.0008920955206
mean reward at round 767:117.39528656400671
mean reward at round 768:118.00985784642171
mean reward at round 769:120.96323042197587
mean reward at round 770:116.78494015348136
mean reward at round 771:120.67130503288307
mean reward at round 772:116.53932037191271
mean reward at round 773:114.65758843315935
mean reward at round 774:115.99353407423312
mean reward at round 775:119.1363115953878
mean reward at round 776:117.01641295530163
mean reward at round 777:116.90558779838213
mean reward at round 778:118.0010528407638
mean reward at round 779:114.09993682387706
mean reward at round 780:117.64739988365419
mean reward at round 781:117.61051035850664
mean reward at round 782:113.89277257604685
mean reward at round 783:114.10373310755858
mean reward at round 784:117.71277749564399
mean reward at round 785:116.34627894015043
mean reward at round 786:115.12290235417719
mean reward at round 787:117.88508641428815
mean reward at round 788:119.19881739844169
mean reward at round 789:117.92617570975742
mean reward at round 790:120.29193082104605
mean reward at round 791:119.83399570542599
mean reward at round 792:126.57698185070267
mean reward at round 793:120.63152523493115
mean reward at round 794:119.86224570370828
mean reward at round 795:117.58244845112142
mean reward at round 796:119.85403179455615
mean reward at round 797:117.98931783023872
mean reward at round 798:115.05897107897422
mean reward at round 799:109.95415540448454
mean reward at round 800:112.58989388630529
mean reward at round 801:114.85065249065457
mean reward at round 802:115.95577240093846
mean reward at round 803:114.64440329235032
mean reward at round 804:114.27508626788423
mean reward at round 805:112.34837442614887
mean reward at round 806:116.57290025548456
mean reward at round 807:114.25409196114796
mean reward at round 808:118.3667814523558
mean reward at round 809:117.10298888822865
mean reward at round 810:113.92519193291135
mean reward at round 811:115.04781037518386
